field_name,epoch,train_loss,val_loss
company,1.0,0.8052359039186593,0.36953917145729065
company,2.0,0.28739235216722875,0.20855693519115448
company,3.0,0.20911099852472753,0.19400690495967865
company,4.0,0.1865406532244005,0.17889566719532013
company,5.0,0.17215617048840987,0.1721459925174713
date,1.0,0.37832292443007426,0.39492520689964294
date,2.0,0.35635880290293226,0.36720380187034607
date,3.0,0.33152618680904117,0.3376917541027069
date,4.0,0.30479692279123793,0.30398985743522644
date,5.0,0.2729776586972031,0.26737141609191895
address,1.0,0.5093334242731771,0.283860981464386
address,2.0,0.28513606803614033,0.24920445680618286
address,3.0,0.25061312358249116,0.22724968194961548
address,4.0,0.23128195878108299,0.2119825929403305
address,5.0,0.2172777721446214,0.20029421150684357
total,1.0,1.077128094908807,1.0572481155395508
total,2.0,0.9652478611488619,0.8927472829818726
total,3.0,0.8594185332335669,0.8019020557403564
total,4.0,0.8169225770624289,0.7767915725708008
total,5.0,0.7950774644745588,0.7546267509460449
