feature_name,weight,abs_weight
low_confidence_field_count,0.5820664167404175,0.5820664167404175
mean_confidence,0.48274633288383484,0.48274633288383484
sourceflag_total_regex,0.41004928946495056,0.41004928946495056
very_low_confidence_field_count,0.4063195586204529,0.4063195586204529
sourceflag_company_line,0.3993171751499176,0.3993171751499176
min_confidence,0.3883698284626007,0.3883698284626007
sourceflag_date_regex,0.38669583201408386,0.38669583201408386
confidence_total,0.37680989503860474,0.37680989503860474
candidate_count_address,0.3660145401954651,0.3660145401954651
confidence_date,0.3607441484928131,0.3607441484928131
predicted_text_len_address,0.35425087809562683,0.35425087809562683
mean_margin,0.3454458713531494,0.3454458713531494
sourceflag_total_line,0.3387744724750519,0.3387744724750519
candidate_count_date,0.32713887095451355,0.32713887095451355
total_minus_mean_margin,0.3226883113384247,0.3226883113384247
low_margin_field_count,0.3184869587421417,0.3184869587421417
margin_address,0.31749939918518066,0.31749939918518066
total_minus_mean_confidence,0.31607696413993835,0.31607696413993835
predicted_text_len_total,0.31483539938926697,0.31483539938926697
margin_date,0.3115569055080414,0.3115569055080414
sourceflag_date_unknown,0.3098217248916626,0.3098217248916626
sourceflag_company_span,0.3021897077560425,0.3021897077560425
min_margin,0.3013751804828644,0.3013751804828644
sourceflag_date_line,0.29294610023498535,0.29294610023498535
candidate_count_company,0.2893446087837219,0.2893446087837219
predicted_text_len_date,0.2808256447315216,0.2808256447315216
candidate_count_total,0.2651022672653198,0.2651022672653198
predicted_text_len_company,0.26204395294189453,0.26204395294189453
very_low_margin_field_count,0.2558726370334625,0.2558726370334625
margin_total,0.25030797719955444,0.25030797719955444
sourceflag_address_line,0.24454379081726074,0.24454379081726074
sourceflag_address_unknown,0.24232801795005798,0.24232801795005798
sourceflag_address_span,0.2240925431251526,0.2240925431251526
sourceflag_company_unknown,0.20863313972949982,0.20863313972949982
confidence_address,0.2079239934682846,0.2079239934682846
sourceflag_total_unknown,0.191660076379776,0.191660076379776
margin_company,0.182350754737854,0.182350754737854
confidence_company,0.17538206279277802,0.17538206279277802
